# nmesh EoS output for T=0 and Y=0
# EoS_type = PwPhot
# nrows = 1024   <-- Number of rows
#
# 3 data columns in dimensionless units where G=c=1:
#   col1:  rho0 = baryonic mass density
#   col2:  epsl = kinetic energy per baryonic mass
#   col3:  P    = pressure
#
7.825212710333443e-13  1.197129146079945e-05  3.343588684457760e-18
8.021375364277106e-13  1.207755145649081e-05  3.457828320061985e-18
8.222455429187904e-13  1.218475464104252e-05  3.575971155364064e-18
8.428576174863359e-13  1.229290938620231e-05  3.698150550102105e-18
8.639863961231634e-13  1.240202413832492e-05  3.824504420486038e-18
8.856448315815292e-13  1.251210741859410e-05  3.955175394877714e-18
9.078462013136357e-13  1.262316782391082e-05  4.090310974789759e-18
9.306041156112481e-13  1.273521402733735e-05  4.230063701385593e-18
9.539325259492960e-13  1.284825477942952e-05  4.374591327667843e-18
9.778457335386935e-13  1.296229890757061e-05  4.524056996550266e-18
1.002358398093499e-12  1.307735531841381e-05  4.678629425013422e-18
1.027485546817915e-12  1.319343299699405e-05  4.838483094552748e-18
1.053242583618508e-12  1.331054100806028e-05  5.003798448133226e-18
1.079645298547427e-12  1.342868849762979e-05  5.174762093873770e-18
1.106709877482279e-12  1.354788469187795e-05  5.351567015690424e-18
1.134452912048727e-12  1.366813889958074e-05  5.534412791136998e-18
1.162891409791758e-12  1.378946051211472e-05  5.723505816688160e-18
1.192042804601998e-12  1.391185900345704e-05  5.919059540720204e-18
1.221924967403317e-12  1.403534393285000e-05  6.121294704451518e-18
1.252556217108432e-12  1.415992494324669e-05  6.330439591115717e-18
1.283955331849060e-12  1.428561176419763e-05  6.546730283647708e-18
1.316141560487680e-12  1.441241421074047e-05  6.770410931174590e-18
1.349134634417778e-12  1.454034218562050e-05  7.001734024611113e-18
1.382954779659993e-12  1.466940567929065e-05  7.240960681671952e-18
1.417622729261400e-12  1.479961477079961e-05  7.488360941621313e-18
1.453159736005710e-12  1.493097962890211e-05  7.744214070093804e-18
1.489587585441991e-12  1.506351051228094e-05  8.008808874329408e-18
1.526928609240101e-12  1.519721777087923e-05  8.282444029179700e-18
1.565205698880803e-12  1.533211184656658e-05  8.565428414251924e-18
1.604442319689175e-12  1.546820327380516e-05  8.858081462572941e-18
1.644662525219702e-12  1.560550268053795e-05  9.160733521165136e-18
1.685890972002081e-12  1.574402078885484e-05  9.473726223942820e-18
1.728152934656569e-12  1.588376841676897e-05  9.797412877348506e-18
1.771474321388344e-12  1.602475647732859e-05  1.013215885916593e-17
1.815881689870181e-12  1.616699598083748e-05  1.047834203095841e-17
1.861402263523375e-12  1.631049803596518e-05  1.083635316459977e-17
1.908063948206686e-12  1.645527384885881e-05  1.120659638337747e-17
1.955895349323768e-12  1.660133472580760e-05  1.158948961816790e-17
2.004925789359317e-12  1.674869207346497e-05  1.198546507919658e-17
2.055185325854906e-12  1.689735739973663e-05  1.239496974391775e-17
2.106704769835429e-12  1.704734231422478e-05  1.281846586156296e-17
2.159515704697426e-12  1.719865853000435e-05  1.325643147492836e-17
2.213650505570899e-12  1.735131786406718e-05  1.370936095998966e-17
