# dd2.eos converted to units with G=c=Msun=1
#
# rho0=nB*mB           epsl=(rho-rho0)/rho0    P
#
3.1595724334962803e-05 1.1961267714418522e-02 5.0561347797723877e-08
3.7246353288418772e-05 1.2232259383301303e-02 6.2799341906544872e-08
4.3907549596847455e-05 1.2518895702686272e-02 7.8645460214119157e-08
5.1760044712862426e-05 1.2825117911799078e-02 9.9661810423041058e-08
6.1016892385856711e-05 1.3156781346430613e-02 1.2829021339627483e-07
7.1929249232314415e-05 1.3522342401794951e-02 1.6836224958283150e-07
8.4793189112392019e-05 1.3935126655570951e-02 2.2745739263781535e-07
9.9957736200307454e-05 1.4388591696932851e-02 2.8146390621245314e-07
1.1783433470165453e-04 1.4878046154272351e-02 3.6918698420342365e-07
1.3890801214982694e-04 1.5447660204861657e-02 5.3005048315760315e-07
1.6375053916390915e-04 1.6143783475502937e-02 7.6615304428734777e-07
1.9303594271832968e-04 1.6999993935663538e-02 1.1141939003474844e-06
2.2755879383001707e-04 1.8061391821199368e-02 1.6357564469283532e-06
2.6825576584424947e-04 1.9392936044268838e-02 2.4357658897485563e-06
3.1623104823819283e-04 2.1093774872461335e-02 3.7057223159857203e-06
3.7278630546896615e-04 2.3327394308332527e-02 5.8273397266807320e-06
4.3945599370915191e-04 2.6375955908459536e-02 9.5634253033854709e-06
5.1804899368272130e-04 3.0721060279850221e-02 1.6384833529660557e-05
6.1069768918273215e-04 3.7143947096780039e-02 2.8940407741051603e-05
7.1991582286818256e-04 4.6824796227582732e-02 5.1660584702267286e-05
8.4866669908241932e-04 6.1403766775228297e-02 9.1319115684498735e-05
1.0004435841707120e-03 8.2967787509678370e-02 1.5750315999913674e-04
1.1793644857168303e-03 1.1395618835446064e-01 2.6292007753931870e-04
1.3902838822471624e-03 1.5702682867517326e-01 4.2403699321164545e-04
1.6389244348505355e-03 2.1494556093050421e-01 6.6212610852839663e-04
1.9320322543109306e-03 2.9053998786163415e-01 1.0052655550066251e-03
2.2775599364580779e-03 3.8673238697561185e-01 1.4912169849160548e-03
2.6848823318475147e-03 5.0663897305907657e-01 2.1718008822970373e-03
3.1650509040290213e-03 6.5371250677678394e-01 3.1185808206137316e-03
3.7310935776472998e-03 8.3190127967469052e-01 4.4308368255877289e-03
4.3983682118476364e-03 1.0458133130982117e+00 6.2460963710618657e-03
5.1849792894206837e-03 1.3008771885085650e+00 8.7546415640081098e-03
6.1122691272880664e-03 1.6035133847536351e+00 1.2219944559977304e-02
7.2053969358425105e-03 1.9613247587382712e+00 1.7006607397137368e-02
8.4940214381698971e-03 2.3833147853939893e+00 2.3619810449386026e-02
1.0013105569964464e-02 2.8801432812336043e+00 3.2759465781991758e-02
1.1803865093240886e-02 3.4644220045150647e+00 4.5395623130143725e-02
1.3914886861611818e-02 4.1510619842413394e+00 6.2873172613753581e-02
1.6403447077883951e-02 4.9576803816022839e+00 8.7056808177034400e-02
1.9337065310911904e-02 5.9050789171358833e+00 1.2053283410564973e-01
2.2795336435267630e-02 7.0178083071779422e+00 1.6688886472819775e-01
2.6872090197875807e-02 8.3248324497866371e+00 2.3110239869193885e-01
